record_id,release_tag,source_video,review_basis,ocr_rows,ocr_meter_candidate_rows,visible_overlay_elements,meter_label_result,classification_effect,physical_claim_status,evidence_boundary,support_note
DOW-UAP-PR067,release-02,DOD_111720696.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,40,1,center reticle crop over vessel/wake scene with direction markers,one OCR candidate at 210s was manually checked and rejected as vessel/wake/reticle OCR noise; not a visible meter label,bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR068,release-02,DOD_111720698.mp4,30_second_remote_frame_display_focused_ocr_probe,12,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR070,release-02,DOD_111720720.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR071,release-02,DOD_111720731.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR072,release-02,DOD_111720752.mp4,30_second_remote_frame_display_focused_ocr_probe,4,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR075,release-02,DOD_111720809.mp4,30_second_remote_frame_display_focused_ocr_probe,4,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR076,release-02,DOD_111720857.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR077,release-02,DOD_111720884.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR078,release-02,DOD_111720890.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR080,release-02,DOD_111720856.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR081,release-02,DOD_111720858.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR082,release-02,DOD_111720861.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR084,release-02,DOD_111720886.mp4,30_second_remote_frame_display_focused_ocr_probe,36,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR085,release-02,DOD_111720822.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR086,release-02,DOD_111720827.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR087,release-02,DOD_111720830.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR089,release-02,DOD_111719730.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR090,release-02,DOD_111719746.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,40,1,center reticle crop over field texture and direction marker,one OCR candidate at 90s was manually checked and rejected as field/reticle OCR noise; not a visible meter label,bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR091,release-02,DOD_111719739.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR092,release-02,DOD_111719736.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR093,release-02,DOD_111719795.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR094,release-02,DOD_111719799.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR095,release-02,DOD_111719804.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,40,1,center reticle crop over low-texture field and direction marker,one OCR candidate at 90s was manually checked and rejected as field/reticle OCR noise; not a visible meter label,bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR096,release-02,DOD_111719807.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,12,1,center reticle crop over field texture and direction marker,one OCR candidate at 30s was manually checked and rejected as field/reticle OCR noise; not a visible meter label,bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR098,release-02,DOD_111719833.mp4,30_second_remote_frame_display_focused_ocr_probe,144,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR099,release-02,DOD_111719835.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
