video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,detection_mode,candidate_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,polarity,top_third_proxy,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,distance_from_reticle_px,distance_from_annotation_focus_px,edge_margin_px,detection_threshold,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689082.mp4,DOW-UAP-PR40,10,10.0,300,reporter annotation pause,DVIDS 00:10-00:14: playback pauses on reporter annotation for small thermal signature,medium,annotation-guided,1,881.4,408.2,879,405,4,5,18,0.9,bright,yes,131,116,122.89,94.0,37.0,153.44,11.84,201.78,119.16,233.71,reporter annotation identifies the area; support is capped because playback is paused and overlaid,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0010_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,11,11.0,330,reporter annotation pause,DVIDS 00:10-00:14: playback pauses on reporter annotation for small thermal signature,medium,annotation-guided,1,857.7,402.8,854,399,6,6,28,0.778,bright,yes,145,117,132.46,90.0,55.0,171.14,12.51,207.18,127.4,331.296,reporter annotation identifies the area; support is capped because playback is paused and overlaid,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0011_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,12,12.0,360,reporter annotation pause,DVIDS 00:10-00:14: playback pauses on reporter annotation for small thermal signature,medium,annotation-guided,1,857.5,402.8,854,399,6,6,30,0.833,bright,yes,145,116,132.37,90.0,55.0,171.26,12.69,207.2,127.4,337.103,reporter annotation identifies the area; support is capped because playback is paused and overlaid,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0012_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,13,13.0,390,reporter annotation pause,DVIDS 00:10-00:14: playback pauses on reporter annotation for small thermal signature,medium,annotation-guided,1,857.7,402.7,854,399,6,6,27,0.75,bright,yes,147,116,133.3,90.0,57.0,171.16,12.47,207.26,128.76,338.286,reporter annotation identifies the area; support is capped because playback is paused and overlaid,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0013_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,14,14.0,420,reporter annotation pause,DVIDS 00:10-00:14: playback pauses on reporter annotation for small thermal signature,medium,annotation-guided,1,857.9,402.3,855,399,5,5,21,0.84,bright,yes,147,118,134.52,90.0,57.0,171.42,12.43,207.67,128.76,333.719,reporter annotation identifies the area; support is capped because playback is paused and overlaid,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0014_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,15,15.0,450,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,1,880.7,408.0,877,404,8,9,59,0.819,bright,yes,128,103,114.53,93.0,35.0,154.0,11.13,202.03,14.0,627.722,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0015_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,16,16.0,480,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,0,,,,,,,,,,no,,,,,,,,,,,no compact contrast candidate survived overlay and redaction filtering,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0016_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,17,17.0,510,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,685.4,420.6,684,419,4,4,13,0.812,dark,yes,110,53,86.38,115.0,63.0,299.44,185.27,189.38,22.0,547.807,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0017_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,18,18.0,540,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,684.0,420.0,681,418,7,5,22,0.629,dark,yes,153,57,100.55,120.0,63.0,300.92,186.56,190.0,24.0,552.039,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0018_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,19,19.0,570,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,685.5,421.0,684,419,4,5,16,0.8,dark,yes,118,59,92.19,122.0,64.0,299.18,185.19,189.0,24.0,557.529,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0019_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,20,20.0,600,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,1046.1,476.6,1044,474,5,6,27,0.9,dark,yes,162,66,107.48,138.0,71.0,106.91,190.07,133.41,22.0,623.808,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0020_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,21,21.0,630,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,682.8,420.0,680,418,7,5,23,0.657,dark,yes,159,59,119.09,124.0,65.0,302.02,187.78,189.96,24.0,566.372,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0021_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,22,22.0,660,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,high,compact-contrast,18,683.4,419.7,680,417,8,6,31,0.646,dark,yes,163,56,114.65,125.0,69.0,301.59,187.16,190.26,24.0,600.965,strong compact top-third contrast candidate after playback resumes,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0022_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,23,23.0,690,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,0,,,,,,,,,,no,,,,,,,,,,,no compact contrast candidate survived overlay and redaction filtering,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0023_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,24,24.0,720,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,1,1291.2,606.7,1289,604,5,6,27,0.9,dark,no,69,65,67.33,85.0,17.0,337.84,467.01,3.26,14.0,-55.463,candidate is too weak for this phase,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0024_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,25,25.0,750,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,16,628.6,254.6,625,253,8,5,34,0.85,dark,yes,101,95,98.32,114.0,18.0,437.36,284.43,164.65,14.0,326.643,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0025_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,26,26.0,780,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,18,828.0,276.3,823,268,11,18,131,0.662,dark,yes,67,55,61.71,80.0,24.0,294.89,135.39,186.27,15.0,444.468,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0026_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,27,27.0,810,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,13,742.8,480.2,739,475,11,13,84,0.587,bright,yes,122,111,117.19,101.0,20.0,225.25,147.76,129.77,14.0,410.824,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0027_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,28,28.0,840,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,13,384.7,494.6,380,487,10,17,122,0.718,bright,yes,192,181,186.89,169.0,22.0,577.12,493.54,24.66,14.0,400.631,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0028_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,29,29.0,870,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,15,394.9,145.8,390,140,11,12,98,0.742,dark,yes,142,132,136.18,155.0,20.0,689.01,541.21,34.92,14.0,412.514,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0029_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,30,30.0,900,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,18,601.0,482.0,595,478,14,8,90,0.804,bright,yes,152,141,146.94,129.0,21.0,363.63,279.79,127.97,14.0,433.069,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0030_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,31,31.0,930,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,18,445.5,197.0,440,192,12,11,108,0.818,dark,yes,120,103,110.84,131.0,28.0,618.3,472.67,85.55,15.0,464.159,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0031_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,32,32.0,960,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,18,739.8,262.4,735,256,11,14,124,0.805,bright,yes,120,109,115.2,97.0,21.0,354.36,193.13,172.37,15.0,433.483,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0032_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,33,33.0,990,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,18,629.0,302.4,623,299,12,9,72,0.667,bright,yes,135,127,131.93,117.0,19.0,407.46,261.93,212.36,15.0,384.006,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0033_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,34,34.0,1020,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,11,1382.2,128.8,1376,118,12,23,151,0.547,bright,yes,132,115,124.36,109.0,19.0,589.31,581.88,38.84,14.0,399.865,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0034_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,35,35.0,1050,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,2,1289.5,223.5,1289,223,2,2,4,1.0,bright,yes,179,177,178.0,164.0,14.0,456.88,457.08,133.5,14.0,255.559,candidate is too weak for this phase,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0035_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,36,36.0,1080,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,5,618.4,147.8,614,138,9,19,111,0.649,bright,yes,132,106,118.64,99.0,33.0,520.09,359.78,57.8,14.0,486.299,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0036_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,37,37.0,1110,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,4,1392.4,158.5,1389,151,8,16,111,0.867,bright,yes,162,125,144.75,127.0,25.0,576.62,577.61,68.5,14.0,450.568,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0037_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,38,38.0,1140,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,15,520.9,260.1,516,256,11,9,83,0.838,bright,yes,128,103,117.92,99.0,29.0,520.74,377.99,160.89,14.0,463.085,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0038_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,39,39.0,1170,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,12,491.2,230.3,488,226,7,10,52,0.743,bright,yes,130,113,122.38,101.0,29.0,561.88,417.17,131.17,15.0,406.791,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0039_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,40,40.0,1200,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,medium,compact-contrast,6,611.6,190.8,604,188,16,7,75,0.67,bright,yes,122,104,112.71,97.0,26.0,493.28,335.64,100.84,14.0,425.166,"usable top-third contrast candidate, but cloud texture and contrast cycling limit object continuity",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0040_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,41,41.0,1230,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,0,,,,,,,,,,no,,,,,,,,,,,no compact contrast candidate survived overlay and redaction filtering,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0041_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,42,42.0,1260,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,4,1489.0,390.9,1484,383,11,16,146,0.83,bright,yes,137,131,134.38,120.0,18.0,549.65,619.21,15.95,14.0,363.568,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0042_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,43,43.0,1290,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,1,1465.9,391.8,1464,391,5,3,12,0.8,bright,yes,131,128,129.5,115.0,15.0,527.19,596.06,39.08,14.0,268.748,candidate is too weak for this phase,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0043_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,44,44.0,1320,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,4,1501.6,336.9,1498,328,7,17,92,0.773,bright,yes,134,116,126.24,90.0,28.0,578.39,635.22,3.43,14.0,384.164,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0044_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,45,45.0,1350,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,none,compact-contrast,0,,,,,,,,,,no,,,,,,,,,,,no compact contrast candidate survived overlay and redaction filtering,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0045_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0045_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,46,46.0,1380,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,4,1483.5,506.5,1478,505,11,4,35,0.795,bright,no,192,167,182.8,155.0,22.0,524.53,621.79,21.54,14.0,161.909,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0046_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0046_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,47,47.0,1410,post-annotation top-third tracking,DVIDS 00:15-01:03: sensor pans while contrast/zoom settings cycle,low,compact-contrast,3,1503.1,439.3,1501,429,4,20,51,0.637,bright,yes,159,122,141.41,101.0,21.0,552.34,634.01,1.92,14.0,241.435,"weak, off-lane, or texture-confounded post-annotation contrast candidate",research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0047_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0047_patch.jpg
