video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_group_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_count,star_like_proxy,component_area,component_min_luma,dark_contrast_delta,fill_ratio,aspect_ratio,distance_from_reticle_px,edge_margin_px,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689051.mp4,DOW-UAP-PR38,30,30.0,900,bottom-right exit and cut gap,"DVIDS 00:30-00:34: area leaves the field of view at the bottom right, before an apparent cut",none,5,834.0,699.7,733,587,262,227,10,yes,5856,1,80.0,0.0985,1.154,203.45,270.28,10026.427,cut-gap/exit phase does not contain a usable in-frame target group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0030_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,31,31.0,930,bottom-right exit and cut gap,"DVIDS 00:30-00:34: area leaves the field of view at the bottom right, before an apparent cut",low,7,1380.7,645.9,1252,548,229,241,11,yes,5557,4,84.0,0.1007,1.052,433.85,324.13,9389.143,weak bottom-right exit residual,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0031_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,32,32.0,960,bottom-right exit and cut gap,"DVIDS 00:30-00:34: area leaves the field of view at the bottom right, before an apparent cut",none,7,1255.6,132.2,1244,106,36,56,2,yes,214,2,77.0,0.1062,1.556,503.68,32.19,1597.364,cut-gap/exit phase does not contain a usable in-frame target group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0032_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,33,33.0,990,bottom-right exit and cut gap,"DVIDS 00:30-00:34: area leaves the field of view at the bottom right, before an apparent cut",none,7,1256.9,136.8,1244,106,36,56,2,yes,235,2,83.0,0.1166,1.556,500.74,36.8,1671.937,cut-gap/exit phase does not contain a usable in-frame target group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0033_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,34,34.0,1020,bottom-right exit and cut gap,"DVIDS 00:30-00:34: area leaves the field of view at the bottom right, before an apparent cut",none,9,1256.4,137.9,1244,106,36,56,2,yes,247,2,81.0,0.1225,1.556,499.51,37.94,1631.057,cut-gap/exit phase does not contain a usable in-frame target group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0034_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,35,35.0,1050,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,8,1258.0,136.6,1244,106,35,56,2,yes,182,3,83.0,0.0929,1.6,501.52,36.64,1561.317,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0035_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,36,36.0,1080,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,9,1241.3,754.2,1141,661,183,142,5,yes,2875,2,110.0,0.1106,1.289,353.56,215.79,5776.279,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0036_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,37,37.0,1110,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,9,395.8,940.5,369,930,37,36,1,yes,231,2,120.0,0.1734,1.028,691.85,29.55,1431.924,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0037_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,38,38.0,1140,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,7,1425.1,756.8,1353,671,184,130,3,yes,4958,1,120.0,0.2073,1.415,513.14,213.21,5660.23,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0038_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,39,39.0,1170,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1356.6,685.9,1234,590,187,211,5,yes,5795,0,105.0,0.1469,1.128,422.59,284.07,6381.676,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0039_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,40,40.0,1200,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,5,1321.8,693.5,1182,601,239,160,5,yes,5955,1,127.0,0.1557,1.494,393.01,276.46,8614.737,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0040_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,41,41.0,1230,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,7,1263.8,744.1,1119,648,318,142,6,yes,4857,5,108.0,0.1076,2.239,365.94,225.94,8090.105,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0041_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,42,42.0,1260,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,6,1234.7,730.6,1168,635,184,185,5,yes,4900,2,122.0,0.1439,1.005,334.41,239.36,8197.386,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0042_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,43,43.0,1290,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1202.3,703.4,1071,598,253,213,9,yes,6020,2,113.0,0.1117,1.188,292.3,266.57,10950.357,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0043_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,44,44.0,1320,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1217.8,666.3,1081,571,274,207,10,yes,5948,0,113.0,0.1049,1.324,287.07,303.75,11403.816,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0044_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,45,45.0,1350,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,5,1230.4,637.3,1094,533,277,202,9,yes,5669,1,112.0,0.1013,1.371,287.43,332.65,10767.126,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0045_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0045_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,46,46.0,1380,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1233.7,655.4,1093,546,287,203,8,yes,5635,0,112.0,0.0967,1.414,297.04,314.62,10564.235,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0046_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0046_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,47,47.0,1410,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,5,1190.4,712.2,1063,616,286,194,10,yes,5576,2,117.0,0.1005,1.474,287.69,257.75,10918.759,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0047_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0047_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,48,48.0,1440,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1112.8,720.5,982,617,285,191,8,yes,5502,0,119.0,0.1011,1.492,236.51,249.48,10219.633,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0048_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0048_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,49,49.0,1470,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1130.7,699.5,992,600,268,202,8,yes,5673,2,114.0,0.1048,1.327,233.67,270.48,10438.755,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0049_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0049_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,50,50.0,1500,post-cut in-field star-like contrast,"DVIDS 00:35-01:43: following apparent cut, area generally remains within field of view",high,4,1198.4,655.4,1077,556,240,215,7,yes,5542,0,125.0,0.1074,1.116,264.85,314.57,10075.337,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0050_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0050_patch.jpg
