"local_manifest_name","source_bucket","date_or_period","record_family","triage_value","evidence_limit","recommended_treatment"
"65_hs1-101634279_100-de-18221_serial_844.pdf","fbi_individual_case","1958","FBI Detroit serial","Anecdotal report involving a crystal/dome-like object or related account; useful for historical report variety.","Single historical narrative; no independent measurement package or follow-up data in triage.","Low-weight witness-history appendix."
"65_hs1-101634279_100-de-26505.pdf","fbi_individual_case","1957 report of 1944 event","FBI interview file","Interview narrative concerning a circular vertical-rising craft-like object observed in Germany in 1944; useful as a high-strangeness historical allegation.","Delayed witness account; no physical evidence, imagery, or corroborating technical record in triage.","Low-weight witness-history appendix."
"65_hs1-834228961_62-hq-83894_section_1.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_2.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_3.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_4.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_5.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_6.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Largest local historical file; no targeted event extraction under current disk limits.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_7.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_8.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_9.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_section_10.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file section","Part of the large FBI HQ flying-disc/UFO file; useful for institutional history and public-report intake.","Large mixed archive section; no targeted event extraction under current pass.","Historical background; OCR only if specific case promoted."
"65_hs1-834228961_62-hq-83894_serial_130.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_serial_164.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_serial_220.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_serial_403.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_serial_438.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_serial_449.pdf","fbi_62_hq_83894_selected_serial","1947-1968","FBI HQ selected serial","Selected serial from the FBI HQ case file; useful for narrower provenance inside the larger archive.","Single serial; no technical package from triage.","Historical background."
"65_hs1-834228961_62-hq-83894_sub_a.pdf","fbi_62_hq_83894_case_file","1947-1968","FBI HQ UFO case-file subfile","Subfile associated with the large FBI HQ UFO archive; useful for provenance and institutional-history coverage.","Large mixed archive subfile; no event-level extraction under current pass.","Historical background."
"serial 5 redacted_redacted.pdf","recent_fbi_aaro_witness_or_site_report","2023","FBI/AARO recent site report","Recent U.S. test-site style report involving a metallic or bronze/gold object; relevant as modern witness-report context.","Redacted report; no public telemetry, imagery, or full mission package in triage.","Low-to-medium witness-context appendix."
"serial-3_redacted.pdf","recent_fbi_aaro_witness_or_site_report","2023","FBI/AARO recent site report","Recent report involving metallic or gray object behavior; relevant as modern witness-report context.","Redacted report; no public telemetry, imagery, or full mission package in triage.","Low-to-medium witness-context appendix."
"serial-4-redacted_redacted.pdf","recent_fbi_aaro_witness_or_site_report","2023","FBI/AARO recent site report","Recent report involving bright light over a horizon near a U.S. test-site context; relevant as modern witness-report context.","Redacted report; no public telemetry, imagery, or full mission package in triage.","Low-to-medium witness-context appendix."
"usper-statement-redacted.pdf","recent_fbi_aaro_witness_statement","2025","FBI/AARO witness statement","High-strangeness U.S. person witness statement involving a hot orb-like object and related anomalous narrative; useful as a witness-narrative outlier.","Statement-only evidence; no public sensor package, physical sample, or independent measurement in triage.","Mention as witness-only outlier if final report covers recent non-DoW context."
