"item","local_file","official_release_or_report","date_or_location","object_count_or_description","sensor_or_context","correlation_status","confidence","notes"
"D54 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d54-source-review.md","War.gov/local DoW-UAP-D54 Mediterranean Sea NA; PDF metadata says DoW-UAP-D31","Full date not public; time of day 1319Z; coordinate 363453N 0255943E converts to approx 36.58138889N, 25.99527778E","one triangular and metallic UAP; altitude 24,989FT MSL; speed 168KTS","heavily redacted mission-report gentext; no public sensor/video/FOV/range/telemetry","High-value short document-only row; no hard video match yet","high for short report content; low for physical kinematics/video pairing","Use D54 for the Aegean/Eastern Mediterranean document-only cluster. Treat shape, speed, and altitude as report-derived; retain the D31 metadata mismatch and unknown-date caveat."
"D28 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d28-mission-report-east-china-sea-2024.txt","War.gov/local DoW-UAP-D28; no PR/video pairing found","Iraq / Ayn Al Asad ROZ Raindrop, 2024-09-20; filename/internal title says East China Sea","reported significant heat-source UAP crossing sensor field between AGM-176 release and impact; possible detached object before leaving FOV","MX-20 / MX-25 IR lens flare; USCENTCOM / Operation Inherent Resolve / OKAS body context","High-value document-only case; source metadata mismatch; evidence-packet constraints complete; no hard video match yet","high for document content; low for video pairing; low for physical kinematics from public release","Release-index search found no D28 PR/video pairing. PR28 is a Greece/D7 false positive; PR46 is an INDOPACOM/East China Sea standalone video filename DOD_111689133 with no written/oral report description. D28 evidence packet found the unique anchors only in D28 and derived notes. Do not infer speed/range/size/trajectory or a PR46 pairing from the public release."
"DOD_111688964 video","source-files-not-included/DOD_111688964.mp4","DOW-UAP-PR29; DVIDS says DoW-UAP-D8, but report text matches War.gov/local DoW-UAP-D27","United Arab Emirates, June 2024 per DVIDS; D27 report event timing 070457ZJUN24","inverted-teardrop-like contrast with vertical trailing mass/pole-bar; possible water reflection per DVIDS and D27 text","21-second IR video; local high-rate pass shows persistent bright object and track-box behavior","Hard PR29 video identity; D-report label discrepancy unresolved","high for PR29 identity; high for D27 text match; low for D8 label reconciliation","Treat DOD_111688964 as hard PR29 video; use D27 for the matching report-content lane; keep the DVIDS D8 label as an official-source discrepancy."
"D25 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d25-source-review.md","War.gov/local DoW-UAP-D25; content matches DOW-UAP-PR28 report summary despite DVIDS D7 label","Greece / Eastern Mediterranean, 2024-01-25 250509Z; event serial 250509ZJAN2024-CENTCOM 001","single round/diamond UAP with straight non-maneuverable tail/probe; visible only on SWIR; gentext approx 434 KNOTS; estimated FL200 and W trajectory","AN/DAS-4; UAP signature SWIR WHT; ISR mission context; PR28 phase review supports SWIR sequence","Best written-report content match for DOD_111688954 / PR28 despite DVIDS naming D7; source review complete","high for content match; high for PR28 visual-sequence support; low for physical kinematics and D7 label reconciliation","D25 contains the Greece, SWIR-only, diamond/probe, 434-knot language summarized by DVIDS PR28. Treat 434 KNOTS, FL200, range, size, and physical shape as report-derived unless source telemetry appears."
"D33 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d33-source-review.md","DOW-UAP-PR34 / War.gov/local DoW-UAP-D33","Greece / ocean surface, 2023-10-27 270035Z; event serial field is dash","seemingly circular UAP just above ocean surface; multiple reported 90-degree turns; estimated 80 MPH; lost from feed around 0038Z","FMV primary sensor; G-MESH available; AN/DAS-4; PR34 video DOD_111689011","Hard DVIDS report-video pairing; source review complete; manual track and geometry feasibility completed","high for pairing; medium-high for image-plane maneuver support; low for physical speed/turn validation","Manual-review track for 4.0s-59.0s retained 97 accepted marks, interpolated 14 bounded dropouts, and found seven smoothed image-plane heading changes >=60 deg. Treat 80 MPH and true 90-degree turns as report-derived unless source telemetry appears."
"D35 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d35-source-review.md","DOW-UAP-PR35 / War.gov/local DoW-UAP-D35","Greece / ocean surface, 2023-10-29 290811Z; event serial field is dash","seemingly circular UAP just above ocean surface toward land; estimated 30 MPH; lost from feed at 0811Z; maneuverability observations NONE","FMV primary sensor; G-MESH available; AN/DAS-4; PR35 video DOD_111689022; local suffixed MP4 export match","Hard DVIDS report-video pairing; source review complete; phase review completed","high for pairing; medium for sequence support; low for physical speed/trajectory validation","Local DOD_111689022-1920x1080-9000k copies are exact SHA-256 duplicates and match the DVIDS filename stem/duration. Public video supports zoom/ocean-background/land-transition sequence, but cloud, shoreline, and terrain confounds make it weak for object kinematics."
"D7 local report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d7-mission-report-arabian-gulf-2020.txt","War.gov/local DoW-UAP-D7, Arabian Gulf 2020","Arabian Gulf, 2020","balloon-like UAP traveling with winds at 31,000 ft MSL; TFLIR visual ID","mission-report text extraction; weapons-quality track / TFLIR language","Conflicts with DVIDS PR28's D7 accompanying-report label","high for mismatch","Local/War.gov D7 does not contain the PR28 Greece/SWIR diamond/434-knot language and should not be used as the PR28 written report unless an official correction explains the discrepancy."
"DOD_111688954 video","source-files-not-included/DOD_111688954.mp4","DOW-UAP-PR28; DVIDS says DoW-UAP-D7, but report text matches War.gov/local DoW-UAP-D25","Greece, January 2024 per DVIDS; D25 report event timing 250509ZJAN24","area of contrast in split EO/SWIR then SWIR-only sequence; DVIDS says inverted-teardrop-like contrast with vertical trailing mass/probe","multi-sensor / SWIR sequence per DVIDS; local file exists and matches DVIDS filename","Hard PR28 video identity; D-report label discrepancy unresolved; phase review completed","high for PR28 identity; high for D25 text match; high for DVIDS visual-sequence support; low for D7 label reconciliation","Phase review found persistent full-screen SWIR contrast from 10.0s-55.9s with 86/92 high-or-medium detections, visible-spectrum loss around 56s, and 0/18 high-or-medium reacquisition marks from 57.0s-65.5s. Treat speed, range, size, altitude, and shape/tail/probe details as report-derived."
"DOD_111689011 video","source-files-not-included/DOD_111689011.mp4","DOW-UAP-PR34 / DoW-UAP-D33","Greece, October 2023","near-ocean-surface UAP making multiple 90-degree turns at about 80 mph; confirmed in local D33 text","IR sensor; reticle designation, contrast filter, loss of lock, and zoom/contrast cycling described by DVIDS","Hard external report-video pairing with local text confirmation, phase review, bounded manual-review track, and geometry feasibility","high for pairing; medium-high for image-plane maneuver support; low for physical speed validation","Manual-review track for 4.0s-59.0s retained 97 accepted marks, interpolated 14 bounded dropouts, and found seven smoothed image-plane heading changes >=60 deg. Geometry scenarios do not falsify the 80 MPH report value, but speed and physical turns remain report-derived without FOV/range/platform telemetry."
"DOD_111689022 video","source-files-not-included/DOD_111689022-1920x1080-9000k.mp4","DOW-UAP-PR35 / DoW-UAP-D35","Greece, October 2023; report event 290811Z","small/circular UAP near ocean surface toward land; local D35 text confirms ocean-surface/toward-land lane and report-derived 30 MPH","IR sensor; ocean-to-land background transition","Hard external report-video pairing with local suffix/export caveat; local report text confirmed; source review and phase review complete","high for report/video pairing; medium for sequence support; low for object-level tracking","Local suffixed file matches DVIDS filename stem and duration, and all three local copies hash identically. Phase review supports the zoom/ocean/land-transition sequence, but cloud, shoreline, and terrain confounds make it weak for kinematics."
"DOD_111689090 video","source-files-not-included/DOD_111689090.mp4","DOW-UAP-PR42","Middle East, 2020","area of contrast repeatedly tracked/lost; local point count mostly one strong point","IR sensor; mode switches and long low-texture sequence","Hard release identity, no D report pairing","high for PR42 identity; low for report pairing","Use as standalone PR42, not as d56/d58 support."
"DOD_111689123 video","source-files-not-included/DOD_111689123.mp4","DOW-UAP-PR45","Middle East, 2020","area of contrast grows in apparent size and exits frame; local PR45 pass supports apparent central-contrast growth and lower-right exit-adjacent motion; AARO notes platform closure caveat","IR sensor, reticle lock and zoom","Hard release identity, no D report pairing","high for PR45 identity; medium-high for standalone visual lane; low for report pairing","Do not use for physical kinematics or force into a D report lane without source metadata."
"DOD_111689142 video","source-files-not-included/DOD_111689142.mp4","DOW-UAP-PR47","INDOPACOM, 2023","three contrast areas maintaining fixed relative positions; full PR47 pass found three-component groups in 349/598 sampled rows","IR sensor, centered formation-like track","Hard release identity, no D report pairing","high for PR47 identity; high for standalone formation lane; low for report pairing","Best standalone multi-object/formation clip so far; do not use for physical kinematics without source geometry/telemetry."
"DOD_111689083 video","source-files-not-included/DOD_111689083.mp4","DOW-UAP-PR41","Middle East, 2020","single area of contrast tracked left-to-right","IR sensor","Hard release identity, no D report pairing","high for PR41 identity; low for report pairing","Lower-priority standalone clip."
"DOD_111688723 video","source-files-not-included/DOD_111688723.mp4","DOW-UAP-PR19 / DoW-UAP-D10","Middle East, May 2022","area of contrast moving left-to-right across bottom third; DVIDS says D10 described one possible missile-like object and four other possible birds not depicted","IR sensor aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; control/low-evidence lane","high for identity; low for anomalous value","Backfilled 2026-05-12. Use as a control case, not a top anomalous case."
"DOD_111688762 video","source-files-not-included/DOD_111688762.mp4","DOW-UAP-PR21 / DoW-UAP-D14","Iraq, May 2022","two contrast areas moving together; DVIDS says D14 described probable SU-27/35","IR sensor aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; conventional-control lane","high for identity; low for anomalous value","AARO/DVIDS notes SU-27 and SU-35 are Russian military aircraft designations. Use as a conventional comparator."
"DOD_111688775 video","source-files-not-included/DOD_111688775.mp4","DOW-UAP-PR22 / DoW-UAP-D16","Syria, July 2022","object moving across top right sensor field; DVIDS says D16 described movement north to south","IR and EO split sensor display per DVIDS","Hard DVIDS report-video pairing","high for identity; medium-low for analytic value","Short hard-paired movement clip. Lower priority than long or geometry-rich hard pairs."
"DOD_111688809 video","source-files-not-included/DOD_111688809.mp4","DOW-UAP-PR23 / DoW-UAP-D18","Iraq, December 2022","area of contrast moving bottom-left to top-right and leaving frame; local D18 frames object as possible UAP/UAV","IR sensor aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; ambiguity-control lane","high for identity; medium-low for analytic value","Useful for ambiguity handling because the written report itself leaves UAP/UAV open."
"DOD_111688816 video","source-files-not-included/DOD_111688816.mp4","DOW-UAP-PR26 / DoW-UAP-D12","DVIDS title says UAE, October 2023; DVIDS text says still image from 2022; local/War.gov D12 is Iraq, May 2022","DVIDS body and D12 both describe one UAP moving north to northeast with no positive ID; DVIDS says original reporter added a red line around the area of interest","still image derived from a U.S. military system per DVIDS; local MP4 is a 43.167s video derivative with frame changes and no sampled red/orange overlay pixels","Hard DVIDS video identity and D12 content match; release title/date/location metadata mismatch","high for DVIDS identity; high for D12 content match; low for PR26 title/date/location as event metadata","Treat as provenance/control case. Use D12 Iraq/May 2022 content for event analysis, preserve PR26 UAE/October 2023 as a source-index discrepancy, and do not infer physical kinematics from the public MP4."
"DOD_111688825 video","source-files-not-included/DOD_111688825.mp4","DOW-UAP-PR27 / DoW-UAP-D23","United Arab Emirates, October 2023","area of contrast becomes distinguishable at 01:56, is centered/zoomed, remains generally centered, then is repeatedly lost/reacquired due to sensor motion","IR sensor aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; phase review and manual validation completed","high for identity; high for late loss/reacquisition visual support; low for physical kinematics","Manual validation reviewed 327 active rows from 134.0s-297.0s: 175 true compact-return candidates, 88 reticle/overlay artifacts, 27 frame-edge artifacts, 23 water-texture artifacts, 3 shoreline/terrain artifacts, 10 uncertain, and 1 no-candidate. Support is strongest from 207.0s-297.0s with 144/181 validated compact-return candidates; the 134.0s-206.5s centered-track interval has only 31/146 validated candidates and is heavily reticle/texture-contaminated. D23's 320 MPH and 440 MPH values remain report-derived."
"DOD_111688970 video","source-files-not-included/DOD_111688970.mp4","DOW-UAP-PR31 / DoW-UAP-D32","Syria, October 2024","indistinct multi-colored area across top edge; D32 describes misshapen white light and glare/halo effect","FMV camera aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; glare-control lane","high for identity; low for anomalous value","Treat as D32 control material."
"DOD_111688997 video","source-files-not-included/DOD_111688997.mp4","DOW-UAP-PR32 / DoW-UAP-D32","Syria, October 2024","D32 glare/halo-related clip; DVIDS describes misshapen uneven ball of white light and light/glare halo effect","FMV camera aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; glare-control lane","high for identity; low for anomalous value","Treat as D32 control material."
"DOD_111689005 video","source-files-not-included/DOD_111689005.mp4","DOW-UAP-PR33 / DoW-UAP-D32","Syria, October 2024","two semi-transparent irregular orange areas overlay background imagery for less than two seconds each","FMV camera aboard U.S. military platform per DVIDS","Hard DVIDS report-video pairing; glare-control lane","high for identity; low for anomalous value","Treat as D32 control material."
"DOD_111689044 video","source-files-not-included/DOD_111689044.mp4","DOW-UAP-PR37","Middle East, 2020","area of contrast enters from bottom-left quarter, follows generally linear path upward, exits top-left quarter","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR37 identity; low for report pairing","Standalone 9-second clip. DVIDS says no oral or written reporter description was provided."
"DOD_111689051 video","source-files-not-included/DOD_111689051.mp4","DOW-UAP-PR38","Middle East, 2013","area of contrast resembling an eight-pointed star with alternating-length arms; trail visible in early segment","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR38 identity; low for report pairing","Standalone 106-second clip. Visually unusual, but DVIDS says no oral or written reporter description was provided."
"DOD_111689057 video","source-files-not-included/DOD_111689057.mp4","DOW-UAP-PR39","Middle East, 2020","faint area of contrast enters from right edge and exits near bottom-center","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR39 identity; low for report pairing","Standalone 5-second clip. DVIDS says no oral or written reporter description was provided."
"DOD_111689082 video","source-files-not-included/DOD_111689082.mp4","DOW-UAP-PR40","Middle East, 2020","area of contrast brightens, is annotated by original reporter as U/I SMALL THERMAL SIGNATURE, then tracked with zoom/contrast cycles","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR40 identity; medium for standalone review; low for report pairing","Standalone 63-second clip with original-reporter alteration. Preserve annotation caveat."
"DOD_111689133 video","source-files-not-included/DOD_111689133.mp4","DOW-UAP-PR46","INDOPACOM, 2024; release-index label says East China Sea","standalone contrast described by DVIDS as football-shaped with three radial projections; no written/oral reporter description","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR46 identity; low for D28 pairing","False positive for D28. Do not infer D28 pairing from East China Sea label or D28 filename/title mismatch."
"DOD_111689167 video","source-files-not-included/DOD_111689167.mp4","DOW-UAP-PR48","INDOPACOM, 2024","area of contrast tracked generally centered for 99 seconds","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR48 identity; medium for standalone review; low for report pairing","Standalone centered-track clip. DVIDS says no oral or written reporter description was provided."
"DOD_111689168 video","source-files-not-included/DOD_111689168.mp4","DOW-UAP-PR49","Department of the Army, 2026","two areas of contrast tracked through zoom and contrast-setting changes","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR49 identity; medium-high for standalone review; low for report pairing","Modern standalone two-object/contrast-area clip. DVIDS says no oral or written reporter description was provided."
"DOD_111689759 video","source-files-not-included/DOD_111689759.mp4","DOW-UAP-PR43","Africa, 2025","small barely distinguishable area of contrast moves left-to-right and exits bottom-right quarter in looped two-second footage","IR sensor aboard U.S. military platform per DVIDS","Hard release identity, no D report pairing","high for PR43 identity; low for report pairing","Standalone looped 2-second event in an 11-second file. DVIDS says no oral or written reporter description was provided."
