case,record_id,video,second,frame_index,roi,ocr_text,normalized_text,meter_label_candidate,candidate_rule,tesseract_psm,sample_step_seconds,source_media_boundary
PR052,DOW-UAP-PR052,DOD_111719718.mp4,90,2160,lower_center_crop,"4% —_ ww oom —— —t a A ee ~Le *_ -ib~ "" 2s - o- ""ys by - i lean ne *. an = * A Ge 7h _- ar _ — opjaygnae — fi —_- e &. = -1*= a .. < _ ee, _ - “ay oo 2 eo is",4 WW OOM T A A EE LE IB 2S O YS BY I LEAN NE AN A GE 7H AR OPJAYGNAE FI E 1 A EE AY OO 2 EO IS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,105,2520,focus_crop,"ea a T_ | ee ™ “Ee at, oe oni _——eees — —— a ——, Oe tia a. eget, a eee = aA ..-~ s = o = , oe | @ a | Pity * = - oe —_— ” om, an “SE g < —— =— a am Glilr wo .— us no —- Qype 6, um » a =| a en ae gmat = - a gir ~~“ wa. = “~— a =",EA A T EE EE AT OE ONI EEES A OE TIA A EGET A EEE AA S O OE A PITY OE OM AN SE G A AM GLILR WO US NO QYPE 6 UM A A EN AE GMAT A GIR WA A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,105,2520,lower_center_crop,"i Tl, Oe _. a | | ° “rag = - ” om, g < —— =— Glilr wo i; = es —- Qype 6, “= ope B= _ mt -t- gmat = - “See = 7 tere ee",I TL OE A RAG OM G GLILR WO I ES QYPE 6 OPE B MT T GMAT SEE 7 TERE EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,120,2880,focus_crop,"— ®. of pi . ae moat in Wee —-— ge ang -—., ge i — eege* Geees m+ > ee iayp""a « t* —. oe —* ie _ Pe a Oy ag fete, - ih, » ee ~ jmom. | “ Gm, 2 om —- <n a oe, | “et Te gee oe - pe #1 aa me @—<:- , =i — om 4",OF PI AE MOAT IN WEE GE ANG GE I EEGE GEEES M EE IAYP A T OE IE PE A OY AG FETE IH EE JMOM GM 2 OM N A OE ET TE GEE OE PE 1 AA ME I OM 4,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,120,2880,lower_center_crop,"ma wa — Qa see poss: ap an a ar PE a. * ——. ""5s a = qe oe ae a tom, - an",MA WA QA SEE POSS AP AN A AR PE A 5S A QE OE AE A TOM AN,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,135,3240,focus_crop,"a ~ af Yi 3 Of 3 Pe ae"" fa, of ie Pon at oom SS or, » @ ype” a * aah. en a a ~-57 <p gle wx Lp ——_ -_ oS a Bose Pn ae gg &",A AF YI 3 OF 3 PE AE FA OF IE PON AT OOM SS OR YPE A AAH EN A A 57 P GLE WX LP OS A BOSE PN AE GG,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,135,3240,lower_center_crop,"map Si eg, a *¥ ut ~ o- aie — aw » @ j™ © aaa. md Pate a ae , * ip ""./ on ae — . ~ P ge, ” eT YT -_",MAP SI EG A UT O AIE AW J AAA MD PATE A AE IP ON AE P GE ET YT,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,150,3600,focus_crop,"1 . et Jo ~~ =. <& o = jo a we af - ~g : oe = -~, ep ome vil . —. oo / ~~ sala 0 Saas ie ; aust Fee > ae PO i wie a EG: ow “a Wa "" See Oy >",1 ET JO O JO A WE AF G OE EP OME VIL OO SALA 0 SAAS IE AUST FEE AE PO I WIE A EG OW A WA SEE OY,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,150,3600,lower_center_crop,a> ew a ae ees aon pe it OG ~¢ ~f —_ -_ ee +,A EW A AE EES AON PE IT OG F EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,165,3960,focus_crop,"| nd oot > » , rie —™ ro of oF a a 1@ ae « or aa ~ @ en , of -~= ry a at Pe als =p. _ fb anf |= > pn",ND OOT RIE RO OF OF A A 1 AE OR AA EN OF RY A AT PE ALS P FB ANF PN,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,165,3960,lower_center_crop,an” bigs | a so °: as ee a) b ec ln wr... ay pp SF wt at po a,AN BIGS A SO AS EE A B EC LN WR AY PP SF WT AT PO A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,180,4320,focus_crop,"— we a 7 “a — © ager, — + fe — — wy, ~ m —_—_ $b a —rn_ - o = ~——a~ a ~@ ""men —s —_ - “£ ~~ een” HE - oo Pin aff . a J oa we a "" oe — ~",WE A 7 A AGER FE WY M B A RN O A A MEN S EEN HE OO PIN AFF A J OA WE A OE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,180,4320,lower_center_crop,al =” - =a wD im yi ar £ aS GE = } —,AL A WD IM YI AR AS GE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,195,4680,focus_crop,"= Re"" gua, =» & ager ae — east eS —- > —™~ + mm a eee x ? Tres roar Sire we ain Paes Samer - yee —wH Cer te — at . oa. =. a= ay a” =” mie a0 tes , gf pom en ae . af i ~~ <P",RE GUA AGER AE EAST ES MM A EEE X TRES ROAR SIRE WE AIN PAES SAMER YEE WH CER TE AT OA A AY A MIE A0 TES GF POM EN AE AF I P,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,195,4680,lower_center_crop,"~=S - o ae a welt ”“ Cao [-/< ga —wH De a= ant A ay a” =” LES « re, are ot en ae eg eee ee",S O AE A WELT CAO GA WH DE A ANT A AY A LES RE ARE OT EN AE EG EEE EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,210,5040,focus_crop,lt Saal = -. ~ a Ky. afk” | te J é = Jo + a= Siew w- —- — oe eg wi oe 4 cea eo -=lig =- Wi af ee P nn —— att” .. - A mr bd OD EE GL cg ™ & nat Om _ = ~ anny” 2 aoe = pp WE ~a-,LT SAAL A KY AFK TE J JO A SIEW W OE EG WI OE 4 CEA EO LIG WI AF EE P NN ATT A MR BD OD EE GL CG NAT OM ANNY 2 AOE PP WE A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,210,5040,lower_center_crop,"af —— i ae sg ~ a ye Fe La yj =_ = Oo aell fs oe ne _ = yea vw - 7 i a ae t_,",AF I AE SG A YE FE LA YJ OO AELL FS OE NE YEA VW 7 I A AE T,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,225,5400,focus_crop,"a i, OS re $n gee a ore i a mae . ee On ae oie ae Pr. ae —~— VE ae oF aes Er on. fell 1O0F okagt a iP te SE. a 5, er a",A I OS RE N GEE A ORE I A MAE EE ON AE OIE AE PR AE VE AE OF AES ER ON FELL 1O0F OKAGT A IP TE SE A 5 ER A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,225,5400,lower_center_crop,"-~= Boe —_— — _ ear ene as =P sa af ee) oo «= ee rt ok = hx >, Tf Ss ee,",BOE EAR ENE AS P SA AF EE OO EE RT OK HX TF SS EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,240,5760,focus_crop,a,A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,240,5760,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,255,6120,focus_crop,(22>,22,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,255,6120,lower_center_crop,(22>,22,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,270,6480,focus_crop,"atin mel —- » I —_ on _f* | a4 el 7 oe x. « {== Ta, oe ot a a vr | ha Mm = i -— - = 2p — L__ al .__my ~— + Wen roe {| ie LT er | paegt Pe _—t a. 0UCU eee ee — -",ATIN MEL I ON F A4 EL 7 OE X TA OE OT A A VR HA MM I 2P L AL MY WEN ROE IE LT ER PAEGT PE T A 0UCU EEE EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,270,6480,lower_center_crop,P dp,P DP,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,285,6840,focus_crop,"“a. * a7 S 2° ge ou eeee* =, 2 = . i F aad ~~ ~ = . e * s ap, a ee , > ef a ~~ ss FT =, rr oe a @ aw",A A7 S 2 GE OU EEEE 2 I F AAD E S AP A EE EF A SS FT RR OE A AW,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,285,6840,lower_center_crop,= wae a oe a @ we ee,WAE A OE A WE EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,300,7200,focus_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,300,7200,lower_center_crop,"a ae a = ""poe "" hel i",A AE A POE HEL I,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,315,7560,focus_crop,sa,SA,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,315,7560,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,330,7920,focus_crop,bw,BW,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,330,7920,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,345,8280,focus_crop,+i-,I,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,345,8280,lower_center_crop,"~~ oo lk ~~ nea =a =z on ~< pny alt — “ill a — = 2 — ~ fo i . ange ee er — am @ . — ay, -m~ hh",OO LK NEA A Z ON PNY ALT ILL A 2 FO I ANGE EE ER AM AY M HH,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,360,8640,focus_crop,"a _ = ae es ae he et 1 /#- od 4° Te oe & Ld = Cf Bue “s ’ 4 oa a —— , -= Z.",A AE ES AE HE ET 1 OD 4 TE OE LD CF BUE S 4 OA A Z,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,360,8640,lower_center_crop,"Fe ad et - ee @ .7s $ wf ya "" ""9 “——— we",FE AD ET EE 7S WF YA 9 WE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,375,9000,focus_crop,a _ s éy he PG aadil - 1 dy |: -~ es. i “ind 2 a ¥y ris Jal —. ar 2 an w ],A S Y HE PG AADIL 1 DY ES I IND 2 A Y RIS JAL AR 2 AN W,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,375,9000,lower_center_crop,a —— ot S wm Pi ya iy ad La | ejpe “A —F,A OT S WM PI YA IY AD LA EJPE A F,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,390,9360,focus_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,390,9360,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,405,9720,focus_crop,im | ‘4% t I * 6 ‘pe e#¢ fu* *¢@ j- +f *> e = a6 an w! | ~ © fe ‘ A . to,IM 4 T I 6 PE E FU J F E A6 AN W FE A TO,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,405,9720,lower_center_crop,"a] te af »°*% , Md A.’ {i (oe a | nf | 4 ‘_” - @ "" se at U =_ ®& *",A TE AF MD A I OE A NF 4 SE AT U,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,420,10080,focus_crop,"aF om t= ante, S, a tom | Damm + ith. non oe ™ may = a” “~~” . SI BAe eu a=, aa Jl re > we I> art: - -, = | > ~ aig - wif von “L. i. Rin ae a ow = “= o- ~— “3 ys ~ > f 1 1, ava ai a more ye A an | a ef er - on oe cab re =U. ww"" eo -¢@ nm? wi ? <a -_ a a ae en 5 1 ‘— 7 f ay Oe in) as ~~ A) ¢ * “e | r= a age mw + le oy oath =: mie = 1 @, au. = (ER «ot a = Le overtly > ot ieee OT Ne ree ™4 <a a‘? ey iS a nant",AF OM T ANTE S A TOM DAMM ITH NON OE MAY A SI BAE EU A AA JL RE WE I ART AIG WIF VON L I RIN AE A OW O 3 YS F 1 1 AVA AI A MORE YE A AN A EF ER ON OE CAB RE U WW EO NM WI A A A AE EN 5 1 7 F AY OE IN AS A E R A AGE MW LE OY OATH MIE 1 AU ER OT A LE OVERTLY OT IEEE OT NE REE 4 A A EY IS A NANT,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,420,10080,lower_center_crop,"« «OT --ei, we ten a | 2:7 4)? a af oo = ie. i - (ine on. See { , een Tow en 4. ~- FL aia x i a Bk ee 0 ¢ eo ~~ | pee a) >, wr, 1. -! ers & @ < a 1 @,, aa = le woViatty -v a | es ee =",OT EI WE TEN A 2 7 4 A AF OO IE I INE ON SEE EEN TOW EN 4 FL AIA X I A BK EE 0 EO PEE A WR 1 ERS A 1 AA LE WOVIATTY V A ES EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,435,10440,focus_crop,"ur. a “ Pee 7 i e™ te | [| -_ a, (nl | ae Jn <'s —Page af eee (a at a =e, ‘*. ry ‘dm 1 ol (“) = ye - - a. wv - 2? oy, I~ ¢ ou ¢ erst | ene ~ ’ {= TT’ Gas wa? or ae | m~™ Fs “wag ib a.” _ = é eres ae - ~ Owe oe = pe). -w SS ae ~~ ae - wes 2 ® | ad tow 1 e _ aad eo; wz * ee sit . & - fl or ofa oS “ebm * “a Pt hee | ~=—ag ~ ee a= ,. > i » i. > = _~ rs L Ss ge wt Bo i aS mt = e— gp, *- saya 7 3 a *' wt",UR A PEE 7 I E TE A NL AE JN S PAGE AF EEE A AT A E RY DM 1 OL YE A WV 2 OY I OU ERST ENE TT GAS WA OR AE M FS WAG IB A ERES AE OWE OE PE W SS AE AE WES 2 AD TOW 1 E AAD EO WZ EE SIT FL OR OFA OS EBM A PT HEE AG EE A I I RS L SS GE WT BO I AS MT E GP SAYA 7 3 A WT,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,435,10440,lower_center_crop,"La , — ""en oe AT wha, ~ 7, pe pay dy ™ s= ~~ ae = @® en 2 1 -_ _»> anyon = Lm 0 | =>. . & A ws * 1 -—f Zeb 2 ~=g ~ - ™ ins i _— fae a a 3 =>, * a OE a ""a | ws a” - ee arn +. ree 3: a Te! o _£s",LA EN OE AT WHA 7 PE PAY DY S AE EN 2 1 ANYON LM 0 A WS 1 F ZEB 2 G INS I FAE A A 3 A OE A A WS A EE ARN REE 3 A TE O S,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,450,10800,focus_crop,"- @* LS es = pe are 9G, Cad e = al dye *. bs = * de * — eM OA ay - gy = —s ‘, = +. gite bs * ~ ~~, qe cb. - < — ay - «ape — 9 4 6a Im, See oe ""§ <r i ofa fone ' yy D> re -< = ™ * re yh a | I *Gq) ae ~/;, a — ¢- . Vr:: /e 1d Ea “4 a eg Le! “ype < ms, Wf OU aw . a or sh “ae e&- Tao's = ~ ‘5 Sw ~. pple. YY eee wb - {aL =P *o / > —_ >,» 9 « i *«# a nd ~~!‘ | «-@ er: =. ow % °c o-_ = = so @ ma tm. ~ “Sa , Ray? Ps wre ed Py Pa 17 ” a Gi. me oS ane . awa at i 2 am § a7 -— ea tu ye 7 Sa e om . -_ Y a 2 (tay == — 3.",LS ES PE ARE 9G CAD E AL DYE BS DE EM OA AY GY S GITE BS QE CB AY APE 9 4 6A IM SEE OE R I OFA FONE YY D RE RE YH A I GQ AE A VR E 1D EA 4 A EG LE YPE MS WF OU AW A OR SH AE E TAO S 5 SW PPLE YY EEE WB AL P O 9 I A ND ER OW C O SO MA TM SA RAY PS WRE ED PY PA 17 A GI ME OS ANE AWA AT I 2 AM A7 EA TU YE 7 SA E OM Y A 2 TAY 3,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,450,10800,lower_center_crop,"7 . - a | aioe ote eT meee oo man A yr o oan S F-> OF a. ? We * eye | ‘eo & Tr Cy ieee a am Ve oS aa 7 ae Y *¢ ot” bs C— a. oo - as + “vir sy'f a wn 4 > —_ se ee tw» Re, *s am NZ! wi. Pee rs Th em! “y rea",7 A AIOE OTE ET MEEE OO MAN A YR O OAN S F OF A WE EYE EO TR CY IEEE A AM VE OS AA 7 AE Y OT BS C A OO AS VIR SY F A WN 4 SE EE TW RE S AM NZ WI PEE RS TH EM Y REA,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,465,11160,focus_crop,"= 4S Les eh wae rele foe BP’ = * - ad * deh —> aya’ ~~ naghoper i ale os & w *e * ~s nes ne a {. ¢ *,2 = ga aw wed ag? AA deg oma tn: ip~r vo yo ee Pte rt Rh me me iggue Day oP ew we! ""4 ey at {eo ni sod ew yes am reel ln oe * a. Fe NN a 6 Oe at aed vy 0) ‘ oe. a wy S— . fou Se ar edad ~ Gm ie ane ane Re “a ~~ pee é « 5 ae — ~~ cm al ty? “Sr & a oe, re ndig apn M. | = §a «my 5 an Ad - 7 oem. * = a -_ en mm *&, ers ent ae we => ae % Ca ane + =b oY. + ~® ~ i 2 “tee aor, ~~ EP yc",4S LES EH WAE RELE FOE BP AD DEH AYA NAGHOPER I ALE OS W E S NES NE A 2 GA AW WED AG AA DEG OMA TN IP R VO YO EE PTE RT RH ME ME IGGUE DAY OP EW WE 4 EY AT EO NI SOD EW YES AM REEL LN OE A FE NN A 6 OE AT AED VY 0 OE A WY S FOU SE AR EDAD GM IE ANE ANE RE A PEE 5 AE CM AL TY SR A OE RE NDIG APN M A MY 5 AN AD 7 OEM A EN MM ERS ENT AE WE AE CA ANE B OY I 2 TEE AOR EP YC,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,465,11160,lower_center_crop,"a * b coated et Me, ae ca) ad ‘Ex a Ie, Qi = wg — 7 ae = ce. fee =~ er 4, As ~ gant we e- aN: é® =; = WE c™ 3: fos —“"" ge ~te: sor gee. pe a, vt ne hs a ap + 4 TY’ 5 a.) pat @ Rate!",A B COATED ET ME AE CA AD EX A IE QI WG 7 AE CE FEE ER 4 AS GANT WE E AN WE C 3 FOS GE TE SOR GEE PE A VT NE HS A AP 4 TY 5 A PAT RATE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,480,11520,focus_crop,"so, “es ies | - * ey ae ee) wy Hala =f _ = hn a anal tat? re =_t, iva ‘oe ry | ""= ay ~ , 4™. ‘Saf aw aA ._' +p ef ~- - ga X> 4 Yeo aww **"" k® — .7 = — gghen a ® > mL we mu a, 7 es b eas ar ae P) Tm 2 P< ok =e ete wer =o erat = =u “Ef ~~ 0 > My ~/* Be, Sn. ve, | pa fa wr. car =f —_w a wiaF | ie. ‘ Pm, -Loal i J Lal * > * t, ‘ po a od = =“ty d*. wi “a. a, - * wow | —gp ="" ~~? ar pa cf =. opt <n rz t ous f —~ae “us: a |",SO ES IES EY AE EE WY HALA F HN A ANAL TAT RE T IVA OE RY AY 4 SAF AW AA P EF GA X 4 YEO AWW K 7 GGHEN A ML WE MU A 7 ES B EAS AR AE P TM 2 P OK E ETE WER O ERAT U EF 0 MY BE SN VE PA FA WR CAR F W A WIAF IE PM LOAL I J LAL T PO A OD TY D WI A A WOW GP AR PA CF OPT N RZ T OUS F AE US A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,480,11520,lower_center_crop,"so ot he od reoe= a a = uel, aliens inp Be — ryt ap ow ="" & 2.8 wre ~ ay Gn, * > * va ts a d a | a, “2 > asf = poy oe | ee Seal wow | - > PT. hee) > j= ~ a & one ms “uy Sa ere — —tSs",SO OT HE OD REOE A A UEL ALIENS INP BE RYT AP OW 2 8 WRE AY GN VA TS A D A A 2 ASF POY OE EE SEAL WOW PT HEE J A ONE MS UY SA ERE TSS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,495,11880,focus_crop,au eS ae ee Rn gga,AU ES AE EE RN GGA,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,495,11880,lower_center_crop,> x @ ear en o aie ! - SE < > _ eae ?,X EAR EN O AIE SE EAE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,0,0,focus_crop,recording - 8x speed possible changes of shape stabilized and enhanced 38 secs,RECORDING 8X SPEED POSSIBLE CHANGES OF SHAPE STABILIZED AND ENHANCED 38 SECS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,0,0,lower_center_crop,ee NL ee 38 secs,EE NL EE 38 SECS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,15,450,focus_crop,I - Sd = ay S,I SD AY S,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,15,450,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,30,900,focus_crop,7 ae errs — 4 —.-ggee _— eal ri - <a ——_— =i = ae ulin —2 ef {a amy - eC sf,7 AE ERRS 4 GGEE EAL RI A I AE ULIN 2 EF A AMY EC SF,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,30,900,lower_center_crop,—=— 06> = ig —_ = aw oo aif ~«,06 IG AW OO AIF,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,45,1350,focus_crop,"UAP recording original speed stabilized, sharpened, contrast enhanced 5 mins",UAP RECORDING ORIGINAL SPEED STABILIZED SHARPENED CONTRAST ENHANCED 5 MINS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,45,1350,lower_center_crop,mins,MINS,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR058,DOW-UAP-PR058,DOD_111719800.mp4,60,1800,focus_crop,We,WE,no,,11,15,source MP4 retained outside Git; OCR text only committed
