"event_date_utc","event_dtg","source_file","region_or_context","record_type","sensor_or_observation","reported_object","reported_behavior","key_caveats","priority"
"2020-10-02","021829ZOCT20","dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf","Strait of Hormuz / Arabian Gulf context","mission report / OCR","mission narrative","1x UAP","Mission narrative says one UAP observed at 1829Z","Detailed observation section not recovered clearly; heavy haze precluded IMINT analysis elsewhere in report","medium"
"2020-10-00","","dow-uap-d58-range-fouler-debrief-na-october-2020.pdf","not extracted","range-fouler debrief","radar lock / target pod / IR","2x IR-significant contacts","KINGPIN-directed ID; radar lock and target-pod video; one contact reportedly circled another; red strobes and noise jamming noted","Red strobes and jamming could indicate conventional platform; OCR of circling interval uncertain","high"
"2020-11-02","022143ZNOV20","dow-uap-d64-mission-report-iran-november-2020.pdf","Arabian Gulf / Iran context","mission report","FMV","unidentified aerial phenomenon","Observed one UAP with unknown altitude and bearing 080 true","Haze precluded IMINT collection earlier in report; sparse detail","medium"
"2020-11-02","022148ZNOV20","dow-uap-d64-mission-report-iran-november-2020.pdf","Arabian Gulf / Iran context","mission report","FMV","additional UAP","Observed additional UAP traveling northwest","Sparse detail","medium"
"2022-05-00","1514Z-1934Z","dow-uap-d10-mission-report-middle-east-may-2022.pdf","Middle East","mission report","FMV","5x UAP across screen","One possible missile-like object; four others fit closer to possible birds","Dust hindered most FMV collection; useful control/caveat case","control"
"2023-10-27","270035:12ZOCT23","dow-uap-d33-mission-report-greece-october-2023.pdf","Greece / ocean surface; redacted 35SKD lane","mission report","FMV primary sensor; G-MESH available; DVIDS PR34 / DOD_111689011 hard pairing","seemingly circular object, too small to make out details","Flew just above ocean surface, made multiple reported 90-degree turns at estimated 80 MPH, and was lost from feed around 0038Z","Observer assessment benign; event serial field is blank/dash; no effects/recovered material; public manual track supports image-plane heading changes, not independent physical turn/speed validation","high"
"2023-10-29","290811:00ZOCT23","dow-uap-d35-mission-report-greece-october-2023.pdf","Greece / ocean surface; redacted 35SMV lane","mission report","FMV primary sensor; G-MESH available; DVIDS PR35 / DOD_111689022 hard pairing; local suffixed MP4 export match","seemingly circular object, too small to make out details","Flew just above ocean surface toward land and was lost from feed at 0811Z; structured field reports estimated 30 MPH and no maneuverability observations","Observer assessment benign; event serial field is blank/dash; no effects/recovered material; public clip supports zoom/ocean/land-transition sequence but not independent speed/range/trajectory validation","medium"
"0000-00-00","1319Z","dow-uap-d54-mission-report-mediterranean-sea-na.pdf","Aegean Sea / Eastern Mediterranean; coordinate 363453N 0255943E converts to approx 36.58138889N, 25.99527778E","mission report","heavily redacted UAP gentext; no public sensor or video pairing","1x triangular and metallic UAP","Observed during RTB while transiting over coordinate, flying at 24,989FT MSL and 168KTS","Full date, platform, unit, event serial, sensor, raw imagery, FOV, range, and telemetry not public; speed/altitude are report-derived; PDF metadata title/subject says DoW-UAP-D31","high"
"2023-11-09","092153:00ZNOV23","dow-uap-d74-mission-report-syria-november-2023.pdf","Syria / Operation Inherent Resolve","mission report","FMV/SIGINT ISR mission; FMV primary sensor in ISR sections","probable UAP shaped like a bouncy ball","Came from south near co-altitude, dropped altitude, safely passed aircraft, maintained estimated 424KN for about seven minutes, then became out of range","Observer assessment benign; no emissions/effects/interrogation/engagement/recovered material; 424KN is report-derived; no public video pairing; PDF metadata title/subject says DoW-UAP-D42","high"
"2024-01-25","250509:00ZJAN24","dow-uap-d25-mission-report-greece-january-2024.pdf","Greece / Eastern Mediterranean; redacted 35SQT to 35SPT lane","mission report","AN/DAS-4; UAP signature SWIR WHT; DVIDS PR28 / DOD_111688954 content match, with D7 label discrepancy","round diamond shape with straight non-maneuvering tail/probe","Visible only on SWIR; gentext reports approx 434 KNOTS; event lasted about two minutes ending 0511Z; estimated FL200 and W trajectory in structured fields","Observer assessment benign; no effects/recovered material; structured kinetic velocity field is blank; public video supports SWIR sequence, not independent speed/range/altitude/shape validation; DVIDS labels accompanying report D7","high"
"2024-06-07","070457:00ZJUN24","dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf","United Arab Emirates / over water; redacted 40RFM60 to 40QFM92 lane","mission report","Target pod AN/DAS-1; FMV-supported NIB context; DVIDS PR29 / DOD_111688964 content match, with D8 label discrepancy","glowing hot spherical object with vertical pole/bar or possible water reflection","Flying straight just over water at estimated 140 KNOTS; response to observer actions no change","Best written-report content match for DVIDS PR29 / DOD_111688964; DVIDS labels accompanying report D8; event serial printed as 060457ZJUN2024-CENTCOM; filename date says October 2023; speed is report-derived","high"
"2024-07-14","140517ZJUL24","dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf","Gulf of Aden / redacted 38P MT coordinate lane","mission report","FMV primary sensor","one UAP; visible description stops at `UAP HAD` and gentext is redacted","Straight flight path at same altitude; estimated low altitude; estimated NW trajectory; followed until distance became too far; speed faster than observing platform flying speed","Benign assessment; no observer engagement, no equipment/person effects, no recovered material; actual velocity, detailed shape/color/markings, exact coordinates, and raw video are not public","high"
"2024-09-20","202027:59ZSEP24","dow-uap-d28-mission-report-east-china-sea-2024.pdf","Iraq / Ayn Al Asad ROZ Raindrop; filename/internal title says East China Sea","mission report","MX-20 / MX-25 sensors","significant heat-source UAP","Flew through sensor field between munition release and impact; generated IR lens flare; possible detached object noted","Source review resolves body-controlled location as USCENTCOM / Operation Inherent Resolve / OKAS / Ayn Al Asad despite filename metadata mismatch; no third-party aircraft reported","high"
"2024-10-20","201559Z0CT24","dow-uap-d32-mission-report_-syria-october-2024.pdf","Syria","mission report","FMV","misshapen uneven ball of white light / glare","Multiple glints or light/glare events crossed FMV feed; halo effect observed","Assessed benign; no mission impact; useful control/caveat case","control"
"2025-04-10","10APR25 2353Z","dow-uap-d50-email-correspondence-indopacom-april-2025.pdf","INDOPACOM","email / tearline","aircraft observation","1x possible UAP","Observed for 12 seconds","Altitude/speed unknown; no interference; authorization metadata, not raw report","medium"
"2025-04-11","11APR25 0007Z","dow-uap-d50-email-correspondence-indopacom-april-2025.pdf","INDOPACOM","email / tearline","aircraft observation","1x possible UAP","Observed for 23 seconds","Altitude/speed unknown; no interference; authorization metadata, not raw report","medium"
"2025-00-00","1653Z","dow-uap-d8-mission-report-djibouti-2025.pdf","Filename/title says Djibouti; grid 35SQT3423692957 decodes to approx 34.2514N, 29.5437E / Eastern Mediterranean","mission report","heavily redacted UAP gentext; no public sensor or video pairing","2x round white-hot UAPs","Dynamic south at approx 240NM/HOUR near grid 35SQT3423692957","Full date, platform, unit, event serial, sensor, FOV, range, and telemetry not public; title/grid location mismatch; speed is report-estimated","high"
"2026-05-08","","western_us_event_slides_5.08.2026.pdf","Western U.S.","briefing / slide deck","witness narrative","orange orbs, red orbs, fiery orb, dark kite, transparent kite","Multiple federal law-enforcement witnesses described several unusual low-altitude and sky events","Secondary summary, not raw sensor evidence; needs primary-report match","medium"

