"sample_second","source_frame_index","manual_status","manual_quality","manual_x_full_frame","manual_y_full_frame","dx_from_center","dy_from_center","detector_confidence","phase","position_basis","caveat"
"77.0","2310","accepted","high","559","706","-401","166","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"78.0","2340","accepted","high","558","571","-402","31","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"79.0","2370","accepted","high","558","475","-402","-65","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"80.0","2400","accepted","high","560","471","-400","-69","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"81.0","2430","accepted","high","555","511","-405","-29","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"82.0","2460","accepted","high","569","562","-391","22","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"83.0","2490","accepted","high","622","569","-338","29","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"84.0","2520","accepted","medium","682","484","-278","-56","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"85.0","2550","accepted","high","738","401","-222","-139","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"86.0","2580","accepted","medium","782","469","-178","-71","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"87.0","2610","accepted","medium","608","685","-352","145","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
